id,name,nationality,email,dept_id,advisor_id
1,Sarah Henderson,Norway,michaelbaker@example.org,3,4
2,Pamela Jones,Afghanistan,mreed@example.com,3,8
3,Amanda Salas,Thailand,xpeters@example.net,2,8
4,Nicholas Watson,Sierra Leone,stacie33@example.net,3,3
5,Veronica Martinez,,mariamiller@example.org,3,6
6,Randy Bryant,Bosnia and Herzegovina,jacob07@example.com,5,6
7,Jennifer Rios,Malawi,,3,2
8,Sheri Moore,Rwanda,jmoore@example.net,4,1
9,Anthony Murray,Italy,heather07@example.org,1,7
10,Rose Hamilton,,jeffrey81@example.net,2,6
11,Amanda Solomon,India,alexander55@example.com,5,8
12,Keith Cardenas,Guinea,carlsontaylor@example.org,1,7
13,Catherine Mejia,Burundi,oschultz@example.net,2,9
14,David Crawford,,wjohnson@example.org,3,7
15,Kirsten Sweeney,South Africa,yaustin@example.net,1,7
16,Nicole Robertson,Kyrgyz Republic,morsejennifer@example.com,1,5
17,Amanda Stokes,United Arab Emirates,cole97@example.net,4,8
18,Shannon Dunn,Nepal,sherrichandler@example.com,5,2
19,Kristina Holland,Romania,bartonrobin@example.org,5,5
20,Robert Campbell,Liberia,vpotts@example.org,2,4
21,Sara Ferguson,Jordan,,4,8
22,Jennifer Short,Jamaica,davisdana@example.net,2,9
23,Julian Hernandez,Saint Vincent and the Grenadines,ashley82@example.net,4,5
24,William Williams,Qatar,valerie65@example.com,3,3
25,Steven Cohen,Somalia,keith02@example.com,3,5
26,Dr. Travis Sanchez,Moldova,bradleynelson@example.org,2,4
27,Oscar Donaldson,Saint Vincent and the Grenadines,simonallison@example.net,5,10
28,Karen Foster,Togo,emarsh@example.net,1,7
29,Jonathan Jones,Netherlands Antilles,turnercourtney@example.com,3,7
30,Ryan Baker,Angola,clairespencer@example.com,4,2
31,Edward Watson,Saudi Arabia,lopezsteven@example.net,4,6
32,Penny Williams,Togo,sandra22@example.org,3,9
33,Keith Gibson,Brazil,lhart@example.net,1,8
34,Kelsey Padilla,Falkland Islands (Malvinas),,3,5
35,John Crawford MD,Jamaica,,5,4
36,Troy Kennedy,Panama,kevincarlson@example.net,5,4
37,Christopher Peck,Germany,fjacobs@example.net,5,10
38,David Johns,Angola,nicolehumphrey@example.com,4,6
39,Susan Ramos,Uzbekistan,kdoyle@example.org,3,8
40,Megan Elliott,Ukraine,kevinknight@example.net,1,1
41,Jason Tate,Malaysia,jared32@example.com,3,7
42,Tiffany Butler,Honduras,andersonchristopher@example.com,1,7
43,Andre Gilmore,Niger,davidjeremy@example.org,1,5
44,Shannon Solomon,,kwashington@example.com,5,10
45,Dana Moore,Marshall Islands,pjohnson@example.net,4,4
46,Ashley Johnston,Malta,hamiltondonald@example.org,5,3
47,William Blake,Montserrat,latashagarcia@example.net,2,4
48,Heather Ward,Cocos (Keeling) Islands,jmata@example.com,3,10
